site,country,year,plot,an_yield,an_CP_l,an_NDF_C,an_ADF_C,an_IVTD_C,an_IVCWD_C,an_CP_C,an_NDF_K,an_ADF_K,an_CP_K
9,France,2006,8,8.949428572,20.10677936,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2006,9,11.700625,18.55396613,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2006,10,17.12211339,16.35179122,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2006,11,17.48020625,17.6450523,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2006,12,12.06286667,16.41896274,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2006,13,6.464166667,22.15764471,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2006,14,13.02425,19.22629182,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2006,15,9.119181819,20.09826577,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2006,16,12.89006667,20.71138451,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2006,17,13.06602381,18.47970894,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2006,18,15.52752727,18.06634793,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2006,19,10.6213,17.7183325,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2006,20,9.798642223,18.58467348,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2006,21,14.70322857,15.19194982,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2006,22,16.36,16.82269684,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2006,23,11.94417143,16.63827822,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2006,24,11.46374444,17.08243065,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2006,25,11.09681539,19.61937915,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2006,26,10.3979,17.7501653,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2006,27,9.749142857,17.2885652,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2006,28,4.830942223,22.38240987,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2006,29,14.9465,17.22954858,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2006,30,12.01146667,19.43207255,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2006,31,8.2995,22.0458659,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2006,32,11.5369625,20.00350639,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2006,33,19.82973333,19.17406521,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2006,34,13.4874375,20.34848679,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2006,35,13.68286667,19.55468152,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2006,36,5.804622222,24.09519377,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2006,37,7.315386813,23.11705985,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2006,38,10.525,18.87935103,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2006,39,11.90005455,21.32259268,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2006,40,7.499636364,20.6417027,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2006,41,13.01292778,18.05503329,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2006,42,11.837,21.245871,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2006,43,14.95426667,17.48923036,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2006,44,16.07250893,16.72354952,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2006,45,8.2417,20.60503654,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2006,46,5.82605,24.02087392,NA,NA,NA,NA,NA,NA,NA,NA
